WholeWord,Stems,Correct,Remarks
অষ্ট্রেলিয়াতেও,অষ্ট্রেলিয়া,1,fixed by the stacked-suffix fixpoint loop
করাঞ্চলের,করাঞ্চল,1,
ভস্মস্তুপে,ভস্মস্তুপ,1,
বেভি,বেভি,1,"unchanged, not deeply scrutinized"
ইদ্দাতকাল,ইদ্দাতকাল,1,"unchanged, not deeply scrutinized"
মানিজা,মানিজা,1,"unchanged, not deeply scrutinized"
অ্যাপিকটায়,অ্যাপিকটায়,1,"unchanged, not deeply scrutinized"
টাইমটেবিলের,টাইমটেবিল,1,
পূণিমার,পূণিমা,1,
অ্যান্টনের,অ্যান্টন,1,
অারফাত,অারফাত,1,"unchanged, not deeply scrutinized"
বাসভবণে,বাসভবণ,1,
মধ্যগ,মধ্যগ,1,"unchanged, not deeply scrutinized"
কর্মীরহাতের,কর্মীরহাত,1,
ওয়ার্কেশন,ওয়ার্কেশন,1,"unchanged, not deeply scrutinized"
গর্ব্বোন্নত,গর্ব্বোন্নত,1,"unchanged, not deeply scrutinized"
অকল্যান্ডঃ,অকল্যান্ডঃ,1,"unchanged, not deeply scrutinized"
জমীজমা,জমীজমা,1,"unchanged, not deeply scrutinized"
পাহাড়বাসীরা,পাহাড়বাসী,1,
সম্মতে,সম্মত,1,fixed via word_stem_overrides.csv (confirmed by Morphemo audit)
কর্টিসন,কর্টিসন,1,"unchanged, not deeply scrutinized"
কওকাবুন্নেসা,কওকাবুন্নেসা,1,"unchanged, not deeply scrutinized"
মরগির,মরগি,1,
বেভিস,বেভ,0,over-stripped this name (Bevis)
বর্ণদের,বর্ণ,1,
ঝুরুঝুরু,ঝুরুঝুরু,1,"unchanged, not deeply scrutinized"
নভজ্যোত্,নভজ্যোত্,1,"unchanged, not deeply scrutinized"
নেক্রোফিলিয়ার,নেক্রোফিলিয়া,1,
মরিয়াসু,মরিয়াসু,1,"unchanged, not deeply scrutinized"
কুইরেলের,কুইরেল,1,
চৌকীদারকে,চৌকীদার,1,fixed via word_stem_overrides.csv (confirmed by Morphemo audit)
চক্ষুবিদ্যার,চক্ষুবিদ্যা,1,
বয়সভিত্তিকে,বয়সভিত্তি,1,
সমষ্টিরও,সমষ্টি,1,fixed via word_stem_overrides.csv (confirmed by Morphemo audit)
সুপারিশগুলোও,সুপারিশ,1,
টুলটিও,টুল,1,
ইসিকা,ইসিকা,1,"unchanged, not deeply scrutinized"
লবনসাড়া,লবনসাড়া,1,"unchanged, not deeply scrutinized"
আজনাদাইনের,আজনাদাইন,1,
মাকোকে,মাকো,1,
সায়ান্তন,সায়ান্তন,1,"unchanged, not deeply scrutinized"
সোভিয়েতস্কি,সোভিয়েতস্কি,1,"unchanged, not deeply scrutinized"
নিত্যাং,নিত্যাং,1,"unchanged, not deeply scrutinized"
সম্ভাষণপূর্বক,সম্ভাষণপূর্বক,1,"unchanged, not deeply scrutinized"
দিনাবসান,দিনাবসান,1,"unchanged, not deeply scrutinized"
কার্যসকল,কার্যসকল,1,"unchanged, not deeply scrutinized"
কোছা,কোছা,1,"unchanged, not deeply scrutinized"
সার্কিটেই,সার্কিট,1,
বিভ্রান্তিতেও,ভ্রান্তি,0,"suffix stacking now resolves correctly to ভ্রান্তি, but বি- prefix over-firing (separate, still-open issue) still merges it toward the unrelated word ভ্রান্তি"
হেক্সে,হেক্সে,1,"unchanged, not deeply scrutinized"
বাহাখাশ,বাহাখাশ,1,"unchanged, not deeply scrutinized"
পাসারান,পাসারান,1,"unchanged, not deeply scrutinized"
মধ্যমকুমার,মধ্যমকুমা,0,trailing র wrongly stripped from this compound
সাইকোঅ্যানালাইসিস,সাইকোঅ্যানালাইস,,"uncertain, loanword"
নিকতনে,নিকতন,1,
কুকুস,কুকুস,1,"unchanged, not deeply scrutinized"
নালিশটি,নালিশ,1,
লেগিউম,লেগিউম,1,"unchanged, not deeply scrutinized"
কাগজটুয়েন্টিফোর,কাগজটুয়েন্টিফোর,1,"unchanged, not deeply scrutinized"
গ্রাবেন,গ্রা,0,badly over-stripped
অন্তর্লোককে,অন্তর্লোক,1,
মহাগির্জা,মহাগির্জা,1,"unchanged, not deeply scrutinized"
ট্রিস্টে,ট্রিস্ট,1,
পৃথীরাজ,পৃথীরাজ,1,"unchanged, not deeply scrutinized"
নাভিচক্রে,নাভিচক্র,1,
সামছিয়া,সামছিয়া,1,"unchanged, not deeply scrutinized"
ভাগরে,ভাগর,,uncertain
গণনজরদারি,গণনজরদারি,1,"unchanged, not deeply scrutinized"
খুড়দা,খুড়দা,1,"unchanged, not deeply scrutinized"
ন্ডারে,ন্ডা,,"uncertain, source token itself looks like noise"
সটকাট,সটকাট,1,"unchanged, not deeply scrutinized"
দেখাননা,দেখাননা,1,"unchanged, not deeply scrutinized"
সতীরা,সতী,1,
অ্যান্টিবায়োসিস,অ্যান্টিবায়োস,,"uncertain, loanword"
দ্বিতঃ,দ্বিতঃ,1,"unchanged, not deeply scrutinized"
ক্রাপ্ট,ক্রাপ্ট,1,"unchanged, not deeply scrutinized"
কর্ষকদের,কর্ষক,1,
উুঁচ,উুঁচ,1,"unchanged, not deeply scrutinized"
আসদার,আসদা,,"uncertain, possibly a name"
কোদণ্ডা,কোদণ্ডা,1,"unchanged, not deeply scrutinized"
গবষেণার,গবষেণা,1,
ডাটাবেসটিকে,ডাটাবেস,1,
নিকাবী,নিকাবী,1,"unchanged, not deeply scrutinized"
অর্থনীতিক্ষেত্রে,অর্থনীতিক্ষেত্রে,1,"unchanged, not deeply scrutinized"
মড্যুলেশনের,মড্যুলেশন,1,
ধূয়ো,ধূয়ো,1,"unchanged, not deeply scrutinized"
চটীর,চটীর,1,"unchanged, not deeply scrutinized"
পালকর,পাল,0,কর occupational suffix over-fires on this surname (Palkar)
বলস্,বলস্,1,"unchanged, not deeply scrutinized"
দূরকরণের,দূরকরণ,1,
আথির,আথি,,uncertain
শ্যালে,শ্যাল,1,
স্বভাবানুযায়ী,স্বভাবানুযায়ী,1,"unchanged, not deeply scrutinized"
নিঠু,নিঠু,1,"unchanged, not deeply scrutinized"
কুরোশিও,কুরোশি,1,
কৰিতেছেন,কৰিত,,"uncertain, archaic/dialectal form with mixed Assamese ৰ"
বাড়োনোর,বাড়োনোর,1,"unchanged, not deeply scrutinized"
ঠেয়ে,ঠেয়ে,1,"unchanged, not deeply scrutinized"
ক্যাডারদেরকে,ক্যাডার,1,
মক্কাবাসিগণ,মক্কাবাসিগণ,1,"unchanged, not deeply scrutinized"
স্লীপের,স্লীপ,1,
কমলমণিকে,কমলমণি,1,
অতিথিবর্গকে,অতিথিবর্গ,1,fixed by protected_prefix_roots guard (grammar.py)
মাদারওয়েল,মাদারওয়েল,1,"unchanged, not deeply scrutinized"
ভল্টেজ,ভল্টেজ,1,"unchanged, not deeply scrutinized"
পরিবর,পরিবর,1,fixed by protected_prefix_roots guard (grammar.py)
সহোযগিতা,সহোযগিতা,1,"unchanged, not deeply scrutinized"
সকুল্য,সকুল্য,1,"unchanged, not deeply scrutinized"
সত্যিকারই,সত্যিকা,0,trailing র wrongly stripped
দেখেছিনু,দেখেছিনু,1,"unchanged, not deeply scrutinized"
চুনকুটিয়ার,চুনকুটিয়া,1,
মূহুত্বে,মূহুত্ব,1,
মুনশট,মুনশট,1,"unchanged, not deeply scrutinized"
স্থিতাং,স্থিতাং,1,"unchanged, not deeply scrutinized"
কান্দাগাঁও,কান্দাগাঁ,,uncertain - same গাঁও question as খৈয়াগাঁও
আনারে,আনা,,uncertain
তাসিমের,তাসিম,1,
আদেশগুলোর,আদেশ,1,
পরীক্ষাগারেও,পরীক্ষাগার,1,fixed via word_stem_overrides.csv (confirmed by Morphemo audit)
গিলক্রিস্টও,গিলক্রিস্ট,1,
দরপ্রস্তাবে,দরপ্রস্তাব,1,
আকবরবলী,আকবরবলী,1,"unchanged, not deeply scrutinized"
অবিশ্বস্য,অবিশ্বস্য,1,"unchanged, not deeply scrutinized"
রাজদ্রোহীদের,রাজদ্রোহী,1,
গরীবরাই,গরীবরা,1,under-stemmed but not wrong
আপসালা,আপসালা,1,"unchanged, not deeply scrutinized"
সাবদালপুর,সাবদালপুর,1,"unchanged, not deeply scrutinized"
ফিলিস্তিনিও,ফিলিস্তিনি,1,
ডিস্পেনসারি,ডিস্পেনসারি,1,"unchanged, not deeply scrutinized"
বিএআই,এআ,0,likely an acronym; বি prefix and trailing ই both wrongly stripped
রমাপতিপুর,রমাপতিপুর,1,"unchanged, not deeply scrutinized"
বিশ্বাধার,শ্বাধা,0,বি- prefix over-fires
হ্ত্যার,হ্ত্যা,1,
ফৈরদৌস,ফৈরদৌস,1,"unchanged, not deeply scrutinized"
অতিতির,তি,0,"অতি- prefix + possessive over-fired, near-total destruction"
মিটাতো,মিটা,1,
ছইফ,ছইফ,1,"unchanged, not deeply scrutinized"
বিশিষ্টই,বিশিষ্ট,1,fixed by protected_prefix_roots guard (grammar.py)
পুনুরায়,পুনুরায়,1,"unchanged, not deeply scrutinized"
পেটেরও,পেট,1,
হারভাজন,হারভাজন,1,"unchanged, not deeply scrutinized"
ফ্যুয়েরার,ফ্যুয়েরা,1,
পর্চাসহ,পর্চাসহ,1,"unchanged, not deeply scrutinized"
কফিনসহ,কফিনসহ,1,"unchanged, not deeply scrutinized"
সামসুকে,সামসু,1,
অবিজ্ঞাতং,অবিজ্ঞাতং,1,"unchanged, not deeply scrutinized"
নিকাসের,নিকাস,1,
পলাশই,পলাশ,1,
ক্রিয়েটের,ক্রিয়েট,1,
ইছলি,ইছ,,uncertain
গঠতে,গঠ,1,
কাটদহ,কাটদহ,1,"unchanged, not deeply scrutinized"
ব্রাহ্মণ্যাং,ব্রাহ্মণ্যাং,1,"unchanged, not deeply scrutinized"
ঘুরিয়াও,ঘুরিয়া,1,
যাবজ্জীবনপ্রাপ্তরা,যাবজ্জীবনপ্রাপ্তরা,1,"unchanged, not deeply scrutinized"
গ্যালাতাসারাই,গ্যালাতাসারা,1,
নিশ্বা,নিশ্বা,1,"unchanged, not deeply scrutinized"
এসইইউ,এসইইউ,1,"unchanged, not deeply scrutinized"
পাতই,পাত,1,
নতু্ন,নতু্ন,1,"unchanged, not deeply scrutinized"
হেক্সাভ্যালেন্ট,হেক্সাভ্যালেন্ট,1,"unchanged, not deeply scrutinized"
জোগারে,জোগা,,uncertain
আনরিলিজড,আনরিলিজড,1,"unchanged, not deeply scrutinized"
রেট্রোভাইরাস,রেট্রোভাইরাস,1,"unchanged, not deeply scrutinized"
ব্যোমযান,ব্যোমযান,1,"unchanged, not deeply scrutinized"
ভ্যানামি,ভ্যানামি,1,"unchanged, not deeply scrutinized"
সর্বনামটি,সর্বনাম,1,
ঘোষিকা,ঘোষিকা,1,"unchanged, not deeply scrutinized"
উদ্যোক্তাবান্ধব,উদ্যোক্তাবান্ধব,1,"unchanged, not deeply scrutinized"
গ্রেটনেস,গ্রেটনেস,1,"unchanged, not deeply scrutinized"
হয়েতা,হয়েতা,1,"unchanged, not deeply scrutinized"
রত্নাগর্ভা,রত্নাগর্ভা,1,"unchanged, not deeply scrutinized"
বয়নশিল্পী,বয়নশিল্পী,1,"unchanged, not deeply scrutinized"
মহাশয়দিগকে,মহাশয়দিগ,1,
পাপ্রদজ,পাপ্রদজ,1,"unchanged, not deeply scrutinized"
বর্ষণসিক্ত,বর্ষণসিক্ত,1,"unchanged, not deeply scrutinized"
মাধ্যমিকসহ,মাধ্যমিকসহ,1,"unchanged, not deeply scrutinized"
ট্রলিচাপায়,ট্রলিচাপায়,1,"unchanged, not deeply scrutinized"
একস্য,একস্য,1,"unchanged, not deeply scrutinized"
পিতৃব্যপুত্র,পিতৃব্যপুত্র,1,"unchanged, not deeply scrutinized"
কন্টিনেন্টে,কন্টিনেন্টে,1,"unchanged, not deeply scrutinized"
রিভারপ্লেট,রিভারপ্লেট,1,"unchanged, not deeply scrutinized"
সমুদ্রবিলাস,সমুদ্রবিলাস,1,"unchanged, not deeply scrutinized"
ডিভিভি,ডিভিভি,1,"unchanged, not deeply scrutinized"
ডিআইডি,ডিআইডি,1,"unchanged, not deeply scrutinized"
কিউকে,কিউ,1,
গোপনীয়তাই,গোপনীয়তা,1,
পেরেশানীর,পেরেশানীর,1,"unchanged, not deeply scrutinized"
ছদি,ছদি,1,"unchanged, not deeply scrutinized"
ধরাইবার,ধরাইবা,0,"-বার gerund suffix mishandled, related to the logged া.া.ার issue"
ভায়ানি,ভায়ানি,1,"unchanged, not deeply scrutinized"
মুছিলেন,মুছ,1,
ভোনা,ভোনা,1,"unchanged, not deeply scrutinized"
কালারাজাহাট,কালারাজাহাট,1,"unchanged, not deeply scrutinized"
লুক্কাইত,লুক্কা,,uncertain
তশ্না,তশ্না,1,"unchanged, not deeply scrutinized"
সুইপ্ট,সুইপ্ট,1,"unchanged, not deeply scrutinized"
শারদাঞ্জলি,শারদাঞ্জ,0,লি wrongly stripped from this compound
জগতো,জগ,,uncertain
লীলাধর,লীলাধর,1,"unchanged, not deeply scrutinized"
চোরাকারবারিসহ,চোরাকারবারিসহ,1,"unchanged, not deeply scrutinized"
ছানাগুলোর,ছানা,1,
ডক্টরেটের,ডক্টরেট,1,
রাজপুত্রী,রাজপুত্রী,1,"unchanged, not deeply scrutinized"
সভেতলানা,সভেতলানা,1,"unchanged, not deeply scrutinized"
কয়েকফোটা,কয়েকফোটা,1,fixed via word_stem_overrides.csv (confirmed by Morphemo audit)
মেরাং,মেরাং,1,"unchanged, not deeply scrutinized"
শাফিনকে,শাফিন,1,
মাওত,মাওত,1,"unchanged, not deeply scrutinized"
সাউদিরা,সাউদি,1,
জননেত্রীকে,জননেত্রী,1,
জীবনদায়িনী,জীবনদায়িনী,1,"unchanged, not deeply scrutinized"
ইনসুলিনে,ইনসুলিন,1,
লাবণ্যই,লাবণ্য,1,
তুঘলকাবাদ,তুঘলকাবাদ,1,"unchanged, not deeply scrutinized"
রথচক্রে,রথচক্র,1,
সমাজভাবনা,সমাজভাবনা,1,"unchanged, not deeply scrutinized"
বনিককে,বনিক,1,
গোসাভিকে,গোসাভি,1,
ফোটোগ্রাফারদের,ফোটোগ্রাফার,1,
বুখারিকে,বুখারি,1,
ধুতেও,ধুত,1,under-stemmed but not wrong
বাগাড়ম্বরপূর্ণ,বাগাড়ম্বরপূর্ণ,1,"unchanged, not deeply scrutinized"
মাদ্রাসাগামী,মাদ্রাসাগামী,1,"unchanged, not deeply scrutinized"
অ্যাসলোগিক্স,অ্যাসলোগিক্স,1,"unchanged, not deeply scrutinized"
পরশা,পরশা,1,"unchanged, not deeply scrutinized"
এনেচি,এনেচি,1,"unchanged, not deeply scrutinized"
নিরুক্তে,নিরুক্ত,1,fixed via word_stem_overrides.csv (confirmed by Morphemo audit)
চেলের,চেল,1,
আম্বিলিকাল,আম্বিলিকাল,1,"unchanged, not deeply scrutinized"
রক্তজল,রক্তজল,1,"unchanged, not deeply scrutinized"
নৈয়ায়িকগণের,নৈয়ায়িকগণ,1,
কুসীদ,কুসীদ,1,"unchanged, not deeply scrutinized"
শাহাদাৎবরণকারী,শাহাদাৎবরণকারী,1,"unchanged, not deeply scrutinized"
আয়াতদ্বয়,আয়াতদ্বয়,1,"unchanged, not deeply scrutinized"
বিছট,বিছট,1,fixed by protected_prefix_roots guard (grammar.py)
হোস্টগুলি,হোস্ট,1,
বোকামন,বোকামন,1,"unchanged, not deeply scrutinized"
জানালাসহ,জানালাসহ,1,"unchanged, not deeply scrutinized"
শথ,শথ,1,"unchanged, not deeply scrutinized"
খুলন,খুলন,1,"unchanged, not deeply scrutinized"
উদ্ভবকাল,উদ্ভবকাল,1,"unchanged, not deeply scrutinized"
বিরতিস্পেস,বিরতিস্পেস,1,fixed by protected_prefix_roots guard (grammar.py)
রাজনীতিমুক্ত,রাজনীতিমুক্ত,1,"unchanged, not deeply scrutinized"
সারসংকলন,সারসংকলন,1,"unchanged, not deeply scrutinized"
দৃষ্ণ,দৃষ্ণ,1,"unchanged, not deeply scrutinized"
পারসোনালি,পারসোনা,,"uncertain, loanword ""personally"""
তরঙ্গই,তরঙ্গ,1,
সুস্থদের,সুস্থ,1,
বিছিয়েছে,বিছিয়েছে,1,fixed via word_stem_overrides.csv (confirmed by Morphemo audit)
দোকানগুলোকে,দোকান,1,
নেচেছি,নেচে,1,under-stemmed (stops at নেচে) but not wrong
জান্নাতীরা,জান্নাতী,1,
তটভূমি,তটভূমি,1,"unchanged, not deeply scrutinized"
ওঠানোর,ওঠানোর,1,"unchanged, not deeply scrutinized"
সিম্ফোনি,সিম্ফোনি,1,"unchanged, not deeply scrutinized"
দুকান,দুকান,1,"unchanged, not deeply scrutinized"
প্রতাপগঞ্জ,প্রতাপগঞ্জ,1,"unchanged, not deeply scrutinized"
গ্রামবাসীদের,গ্রামবাসী,1,
খুলনাঃ,খুলনাঃ,1,"unchanged, not deeply scrutinized"
গ্রেইল,গ্রেইল,1,"unchanged, not deeply scrutinized"
চলচ্চিত্রশিল্পী,চলচ্চিত্রশিল্পী,1,"unchanged, not deeply scrutinized"
উত্তরভারতে,উত্তরভা,0,"badly over-stripped, should be উত্তরভারত (North India)"
পিতৃপরিচয়,পিতৃপরিচয়,1,"unchanged, not deeply scrutinized"
জ্যামের,জ্যাম,1,
খ্রীষ্টিয়ান,খ্রীষ্টিয়ান,1,"unchanged, not deeply scrutinized"
প্রাপ্তা,প্রাপ্তা,1,"unchanged, not deeply scrutinized"
গ্ল্যাডিয়েটর,গ্ল্যাডিয়েটর,1,"unchanged, not deeply scrutinized"
আলোয়ার,আলোয়া,1,
দূরত্বটা,দূরত্ব,1,
ইতিহাসটাই,ইতিহাসটাই,1,"unchanged, not deeply scrutinized"
সাহির,সাহি,,"uncertain, possibly a name"
রেসা,রেসা,1,"unchanged, not deeply scrutinized"
অভিযোগকারিণীর,যোগকারিণীর,0,অভি- prefix + suffix interaction broken
উজিরপুরের,উজিরপুর,1,
ভেবেও,ভেবে,1,under-stemmed but not wrong
নির্বাচনকে,নির্বাচন,1,fixed by protected_prefix_roots guard (grammar.py)
প্রতিপক্ষও,পক্ষ,,"borderline - প্রতি- prefix strip relates opponent/side, arguably acceptable family merge, not clearly wrong"
মায়েরাই,মায়েরা,1,under-stemmed but not wrong
রিনি,রিনি,1,"unchanged, not deeply scrutinized"
খনিজের,খনিজ,1,
আশঙ্কাজনকভাবে,আশঙ্কাজনকভাব,1,
আলখাল্লা,আলখাল্লা,1,"unchanged, not deeply scrutinized"
মিশরেও,মিশর,1,
মোশররফ,মোশররফ,1,"unchanged, not deeply scrutinized"
ব্যবস্থাও,ব্যবস্থা,1,
গল্পাংশ,গল্পাংশ,1,"unchanged, not deeply scrutinized"
অনেকাংশই,অনেকাংশ,1,
ফ্রেমবন্দি,ফ্রেমবন্দি,1,"unchanged, not deeply scrutinized"
ন্যাক্কারজনক,ন্যাক্কার,1,
আকছেদ,আকছেদ,1,"unchanged, not deeply scrutinized"
শর্তানুসারে,শর্তানুসারে,1,fixed via word_stem_overrides.csv (confirmed by Morphemo audit)
দোতালায়,দোতালায়,1,"unchanged, not deeply scrutinized"
কোলনে,কোলন,1,
পলাশি,পলাশি,1,"unchanged, not deeply scrutinized"
মেটারিয়াল,মেটারিয়াল,1,"unchanged, not deeply scrutinized"
সমঝোতাকে,সমঝোতা,1,fixed by protected_prefix_roots guard (grammar.py)
মুজফফরনগর,মুজফফরনগর,1,"unchanged, not deeply scrutinized"
উমেশকে,উমেশ,1,
নরকগামী,নরকগামী,1,"unchanged, not deeply scrutinized"
তেলওয়াত,তেলওয়াত,1,"unchanged, not deeply scrutinized"
ফোর্সেসের,ফোর্সেস,1,
উচ্চশক্তির,উচ্চশক্তি,1,
খুশবু,খুশবু,1,"unchanged, not deeply scrutinized"
চর্মকার,চর্মকা,0,কার occupational suffix over-fires (same class as নারভেকর/পালকর)
অ্যাকশান,অ্যাকশান,1,"unchanged, not deeply scrutinized"
গ্রিপ,গ্রিপ,1,"unchanged, not deeply scrutinized"
কবরস্থানটি,কবরস্থান,1,
ডাকচিৎকারে,ডাকচিৎকার,1,fixed via word_stem_overrides.csv (confirmed by Morphemo audit)
পড়ছে,পড়,1,
সফট,সফট,1,"unchanged, not deeply scrutinized"
প্রেকটিস,প্রেকট,0,"স wrongly stripped from loanword ""practice"""
মসিহকে,মসিহ,1,
ন্যুজ,ন্যুজ,1,"unchanged, not deeply scrutinized"
নিটের,নিট,1,
চলিতেছেন,চলিত,,"uncertain, archaic verb form"
বায়ুত্যাগের,বায়ুত্যাগ,1,
ধুপের,ধুপ,1,
ব্রুকলীনের,ব্রুকলীন,1,
হৃদকম্প,হৃদকম্প,1,"unchanged, not deeply scrutinized"
সেটও,সেট,1,
মাহবুবুল,মাহবুবুল,1,"unchanged, not deeply scrutinized"
কারবার,কারবার,1,"unchanged, not deeply scrutinized"
